upc,name,brand,category,ingredients,notices_json,lawsuits_json
533333333333,Volumizing Conditioner,BigHair,Hair Styling,"Water|Polyquaternium-11|Fragrance|Citral","[{""type"":""recall"",""status"":""current"",""date"":""2024-12-15"",""title"":""Microbial contamination"",""source"":""https://example.org/recall""}]","[]"
544444444444,Hydrating Toner,FreshFace,Skin Care,"Water|Glycerin|Witch Hazel|Rosa Damascena Flower Water","[]","[]"
555555555555,Anti-Dandruff Gel,ScalpCare,Hair Care,"Pyrithione Zinc|Sodium Laureth Sulfate|Fragrance|Menthol","[]","[{""status"":""settled"",""date"":""2023-08-30"",""title"":""False advertising"",""source"":""https://example.org/case""}]"
566666666666,Leave-In Cream,SoftLocks,Hair Care,"Water|Cetearyl Alcohol|Behentrimonium Chloride|Fragrance","[]","[]"
577777777777,SPF 70 Sunscreen,UltraShield,Skin Care,"Water|Homosalate|Octocrylene|Fragrance","[]","[]"
588888888888,Texturizing Spray,StylePro,Hair Styling,"Water|Alcohol Denat.|VP/VA Copolymer|Fragrance","[]","[]"
599999999999,Soothing Lotion,CoolSkin,Skin Care,"Aloe Barbadensis Leaf Juice|Glycerin|Panthenol|Fragrance","[]","[]"
600000000000,Color Protect Conditioner,ColorSafe,Hair Care,"Water|Sodium Laureth Sulfate|Cocamidopropyl Betaine|Fragrance","[]","[]"
611111111111,Deep Conditioning Mask,HydraHair,Hair Care,"Water|Cetearyl Alcohol|Behentrimonium Methosulfate|Fragrance","[]","[]"
622222222222,Facial Cleanser,GentleGlow,Skin Care,"Water|Sodium Lauroyl Sarcosinate|Glycerin|Fragrance","[]","[]"
633333333333,Hair Growth Serum,ThickLocks,Hair Care,"Water|Biotin|Caffeine|Fragrance","[]","[]"
644444444444,Mattifying Moisturizer,ClearSkin,Skin Care,"Water|Dimethicone|Glycerin|Fragrance","[]","[]"
655555555555,Curl Defining Cream,CurlMagic,Hair Styling,"Water|Cetearyl Alcohol|Behentrimonium Chloride|Fragrance","[]","[]"
666666666666,Anti-Aging Serum,YouthfulGlow,Skin Care,"Water|Hyaluronic Acid|Retinol|Fragrance","[]","[]"
677777777777,Heat Protectant Spray,SafeStyle,Hair Styling,"Water|Cyclopentasiloxane|Dimethiconol|Fragrance","[]","[]"
688888888888,Detangling Spray,EzyComb,Hair Care,"Water|Glycerin|Panthenol|Fragrance","[]","[]"
699999999999,Exfoliating Scrub,SmoothSkin,Skin Care,"Water|Jojoba Beads|Glycerin|Fragrance","[]","[]"
700000000000,Volumizing Shampoo,BigVolume,Hair Care,"Water|Sodium Laureth Sulfate|Fragrance|Citral","[]","[]"
711111111111,Hydrating Serum,MoistureBoost,Skin Care,"Water|Hyaluronic Acid|Glycerin|Fragrance","[]","[]"
722222222222,Texturizing Paste,StyleFix,Hair Styling,"Water|Alcohol Denat.|VP/VA Copolymer|Fragrance","[]","[]"
733333333333,Clarifying Conditioner,FoamLab,Hair Care,"Water|Sodium Laureth Sulfate|Fragrance|BHT","[]","[]"
744444444444,SPF 15 Daily Moisturizer,SunKind,Skin Care,"Water|Zinc Oxide|Glycerin|Fragrance","[]","[]"
755555555555,Keratin Hair Mask,SleekCo,Hair Care,"Cyclopentasiloxane|Dimethiconol|Quaternium-15|Limonene","[]","[{""status"":""filed"",""date"":""2024-11-20"",""title"":""Allergen claim"",""source"":""https://example.org/case""}]"
766666666666,Organic Night Cream,NatureGlow,Skin Care,"Aqua|Cetearyl Alcohol|Shea Butter|Lavandula Angustifolia Oil","[]","[]"
777777777777,Volumizing Foam,BigHair,Hair Styling,"Water|Polyquaternium-11|Fragrance|Citral","[{""type"":""recall"",""status"":""current"",""date"":""2024-12-15"",""title"":""Microbial contamination"",""source"":""https://example.org/recall""}]","[]" 
788888888888,Hydrating Mist,FreshFace,Skin Care,"Water|Glycerin|Witch Hazel|Rosa Damascena Flower Water","[]","[]"
799999999999,Anti-Dandruff Conditioner,ScalpCare,Hair Care,"Pyrithione Zinc|Sodium Laureth Sulfate|Fragrance|Menthol","[]","[{""status"":""settled"",""date"":""2023-08-30"",""title"":""False advertising"",""source"":""https://example.org/case""}]"
800000000000,Leave-In Spray,SoftLocks,Hair Care,"Water|Cetearyl Alcohol|Behentrimonium Chloride|Fragrance","[]","[]"
811111111111,SPF 30 Sunscreen,UltraShield,Skin Care,"Water|Homosalate|Octocrylene|Fragrance","[]","[]"
822222222222,Texturizing Gel,StylePro,Hair Styling,"Water|Alcohol Denat.|VP/VA Copolymer|Fragrance","[]","[]"
833333333333,Soothing Gel,CoolSkin,Skin Care,"Aloe Barbadensis Leaf Juice|Glycerin|Panthenol|Fragrance","[]","[]"
844444444444,Color Protect Shampoo,ColorSafe,Hair Care,"Water|Sodium Laureth Sulfate|Cocamidopropyl Betaine|Fragrance","[]","[]"
855555555555,Deep Repair Mask,HydraHair,Hair Care,"Water|Cetearyl Alcohol|Behentrimonium Methosulfate|Fragrance","[]","[]"
866666666666,Facial Wash,GentleGlow,Skin Care,"Water|Sodium Lauroyl Sarcosinate|Glycerin|Fragrance","[]","[]"
877777777777,Hair Thickening Serum,ThickLocks,Hair Care,"Water|Biotin|Caffeine|Fragrance","[]","[]"
888888888888,Mattifying Lotion,ClearSkin,Skin Care,"Water|Dimethicone|Glycerin|Fragrance","[]","[]"
899999999999,Curl Enhancing Gel,CurlMagic,Hair Styling,"Water|Cetearyl Alcohol|Behentrimonium Chloride|Fragrance","[]","[]"
900000000000,Anti-Aging Cream,YouthfulGlow,Skin Care,"Water|Hyaluronic Acid|Retinol|Fragrance","[]","[]"
911111111111,Heat Defense Spray,SafeStyle,Hair Styling,"Water|Cyclopentasiloxane|Dimethiconol|Fragrance","[]","[]"
922222222222,Detangling Conditioner,EzyComb,Hair Care,"Water|Glycerin|Panthenol|Fragrance","[]","[]"
933333333333,Exfoliating Gel,SmoothSkin,Skin Care,"Water|Jojoba Beads|Glycerin|Fragrance","[]","[]"
944444444444,Volumizing Conditioner,BigVolume,Hair Care,"Water|Sodium Laureth Sulfate|Fragrance|Citral","[]","[]"
955555555555,Hydrating Cream,MoistureBoost,Skin Care,"Water|Hyaluronic Acid|Glycerin|Fragrance","[]","[]"
966666666666,Texturizing Cream,StyleFix,Hair Styling,"Water|Alcohol Denat.|VP/VA Copolymer|Fragrance","[]","[]"
977777777777,Clarifying Gel,FoamLab,Hair Care,"Water|Sodium Laureth Sulfate|Fragrance|BHT","[]","[]"
988888888888,SPF 20 Moisturizer,SunKind,Skin Care,"Water|Zinc Oxide|Glycerin|Fragrance","[]","[]"
999999999999,Keratin Conditioner,SleekCo,Hair Care,"Cyclopentasiloxane|Dimethiconol|Quaternium-15|Limonene","[]","[{""status"":""filed"",""date"":""2024-11-20"",""title"":""Allergen claim"",""source"":""https://example.org/case""}]"
